discovery keyword,channel name,email,country,URL,AVG views,AVG engagement,notes,reachOut,total subs,date recorded,sampleSize,id
minecraft beginner lessons,Logdotzip,testEmail,US,https://www.youtube.com/channel/UC2D-GCxeE69hCUmRwISXABw/about,"73,915.22",0.04895642455,- minecraft channel,0,2320483,2018-05-10 16:55:48,9,UC2D-GCxeE69hCUmRwISXABw
dark souls pro strategy,PvPSkillz,testEmail,GB,https://www.youtube.com/channel/UC9hEGpdST9NO4Thynxdj4EQ/about,"73,265.56",0.03284125927,- inactive channel,0,157218,2018-05-11 9:38:30,17,UC9hEGpdST9NO4Thynxdj4EQ
runscape intermediate tips and trick,AlkanRs,testEmail,CA,https://www.youtube.com/channel/UCkSKpaRmt8n0_O41omOKt4A/about,"73,228.33",0.03166124223,- runescrape channel,1,160357,2018-05-11 11:26:13,6,UCkSKpaRmt8n0_O41omOKt4A
GTA 5 pro noobs,RedHatter,testEmail,US,https://www.youtube.com/channel/UCdZoVLv1XHLLLJTSNcifuDQ/about,"73,132.46",0.01691676732,- gaming channel,1,1495632,2018-05-11 13:55:08,14,UCdZoVLv1XHLLLJTSNcifuDQ
minecraft intermediate overview,SethBling,testEmail,country not detected,https://www.youtube.com/channel/UC8aG3LDTDwNR1UQhSn9uVrw/about,"73,091.08",0.05578287506,- speedrun channel,0,1937405,2018-05-10 17:01:55,14,UC8aG3LDTDwNR1UQhSn9uVrw
minecraft pro players,Landon,testEmail,US,https://www.youtube.com/channel/UCX__hU61VF3Bu8AHk18KaEQ/about,"73,085.56",0.03648377886,- gaming channel,1,675981,2018-05-10 17:12:10,17,UCX__hU61VF3Bu8AHk18KaEQ
CS GO intermediate guide,betway esports,testEmail,country not detected,https://www.youtube.com/channel/UCP2hfylZr8_R8iHSWLDxeRQ/about,"73,010.08",0.03402679191,- esports channel,0,68752,2018-05-10 15:57:04,25,UCP2hfylZr8_R8iHSWLDxeRQ
world of tanks expert common mistakes,Brian Barczyk,testEmail,US,https://www.youtube.com/channel/UC4zS1wbO81p59CxKL7CQAcA/about,"72,918.00",0.06708301049,- animals,0,1290916,2018-05-11 11:49:23,25,UC4zS1wbO81p59CxKL7CQAcA
god of war expert guide,UberHaxorNova,testEmail,US,https://www.youtube.com/channel/UC22TOQWJue006Lp6DB5QhDA/about,"72,542.58",0.03628788149,- former big utuber,1,3081721,2018-05-11 7:40:46,13,UC22TOQWJue006Lp6DB5QhDA
dead cells beginner lessons,Bozeman Science,testEmail,country not detected,https://www.youtube.com/channel/UCEik-U3T6u6JA0XiHLbNbOw/about,"72,114.00",0.01292403925,- educational tv,0,711546,2018-05-11 9:43:36,16,UCEik-U3T6u6JA0XiHLbNbOw
call of duty beginner videos,MarkOfJ,testEmail,country not detected,https://www.youtube.com/channel/UCBNUhf5-BHNJYcCcyi30Nkg/about,"71,985.72",0.04817259771,- former big utuber,1,1184294,2018-05-10 17:44:26,25,UCBNUhf5-BHNJYcCcyi30Nkg
rainbow six seige beginner gameplay,Draegast,testEmail,CA,https://www.youtube.com/channel/UCf2ocK7dG_WFUgtDtrKR4rw/about,"71,111.22",0.03573510041,- science channel,0,1513773,2018-05-10 18:00:47,19,UCf2ocK7dG_WFUgtDtrKR4rw
dead cells expert videos,Тиджой,testEmail,country not detected,https://www.youtube.com/channel/UCpcg8-wx6SOW3PfGT83E-BA/about,"70,174.00",0.06524852509,- foreign channel,0,172979,2018-05-11 9:53:36,4,UCpcg8-wx6SOW3PfGT83E-BA
GTA 5 pro builds,BlackPanthaa,testEmail,GB,https://www.youtube.com/channel/UCeePGrzBN3B2GurSkd_bwPQ/about,"69,882.25",0.05064233049,- racing channel,1,627096,2018-05-11 13:54:09,25,UCeePGrzBN3B2GurSkd_bwPQ
dark souls expert videos,LORE,testEmail,country not detected,https://www.youtube.com/channel/UCCqnN6ApN4VO9uKOpCoDxww/about,"68,892.13",0.02925514745,- lore channel,0,865616,2018-05-11 9:36:32,25,UCCqnN6ApN4VO9uKOpCoDxww
runscape pro common mistakes,Sparc Mac,testEmail,country not detected,https://www.youtube.com/channel/UC2DVBRob9AwXE0_xsdLywFQ/about,"68,165.50",0.05760978794,- runescape channel,0,387577,2018-05-11 11:35:40,2,UC2DVBRob9AwXE0_xsdLywFQ
dark souls beginner methods,EmergencyTaco,testEmail,country not detected,https://www.youtube.com/channel/UC9J33SSQUtd1HkpJuv-xlHw/about,"68,133.50",0.00868515488,- dead channel,0,1239,2018-05-11 9:28:17,4,UC9J33SSQUtd1HkpJuv-xlHw
CS GO intermediate noobs,Bean,testEmail,CA,https://www.youtube.com/channel/UCcLZWFqaJwM58GkPzxpOhLQ/about,"67,929.00",0.03470388199,- gaming channel,1,70265,2018-05-10 16:01:20,5,UCcLZWFqaJwM58GkPzxpOhLQ
hearthstone,Hearthstoned - Daily Hearthstone moments,testEmail,US,https://www.youtube.com/channel/UCcyuPFvThrEcqIqcXnLZTCQ/about,"67,562.47",0.007591915996,- gaming clips channel,0,48258,2018-05-10 16:11:10,16,UCcyuPFvThrEcqIqcXnLZTCQ
GTA 5 beginner methods,LispyLeaf,testEmail,AU,https://www.youtube.com/channel/UCIMJvnZS-skOHbDdbQmwSZw/about,"66,848.06",0.0590269404,- scam channel,0,539767,2018-05-11 13:38:29,18,UCIMJvnZS-skOHbDdbQmwSZw
minecraft pro gameplay,Bajan Canadian,testEmail,US,https://www.youtube.com/channel/UCuj1Ms9_LCsQPSJ4p8nvOVA/about,"66,639.54",0.07938230249,- former big utuber,1,5996296,2018-05-10 17:11:35,14,UCuj1Ms9_LCsQPSJ4p8nvOVA
minecraft beginner gameplay,TGN MC Songs and Animations,testEmail,CA,https://www.youtube.com/channel/UCPUarEI7wLwo8aVbk9y1UZg/about,"66,329.90",0.01907133887,- gaming clips channel,0,564868,2018-05-10 16:56:59,11,UCPUarEI7wLwo8aVbk9y1UZg
black desert online expert methods,JTV,testEmail,US,https://www.youtube.com/channel/UC9depPiZijkug50cDGvIGow/about,"65,729.26",0.006477410961,- science h,0,90287,2018-05-11 10:11:16,25,UC9depPiZijkug50cDGvIGow
GTA 5 intermediate news,LispyJimmy,testEmail,US,https://www.youtube.com/channel/UCgrA08uO7JR9h6Xr-ONjPkA/about,"65,655.13",0.1200191912,- twitch streamer,0,4534758,2018-05-11 13:46:50,9,UCgrA08uO7JR9h6Xr-ONjPkA
call of duty intermediate common mistakes,JamesESL English Lessons (engVid),testEmail,CA,https://www.youtube.com/channel/UCwA7Aepp7nRUJNa8roQ-6Bw/about,"65,364.38",0.036170102,- english channel,0,1004501,2018-05-10 17:50:00,9,UCwA7Aepp7nRUJNa8roQ-6Bw
minecraft pro builds,Gamer Chad,testEmail,US,https://www.youtube.com/channel/UCLVQ7EjP5H9NxoYZlL5f4qg/about,"65,162.56",0.02677998542,- streamer,0,1443799,2018-05-10 17:11:58,19,UCLVQ7EjP5H9NxoYZlL5f4qg
dead cells intermediate tutorial,tutor4u,testEmail,country not detected,https://www.youtube.com/channel/UCJspWFXSL1guQPdFqh4lFjQ/about,"64,887.35",0.02182821532,- tutorial ,0,258848,2018-05-11 9:47:24,25,UCJspWFXSL1guQPdFqh4lFjQ
starcraft intermediate methods,thenewboston,testEmail,country not detected,https://www.youtube.com/channel/UCJbPGzawDH1njbqV-D5HqKw/about,"64,167.92",0.007461797046,- programming tutorials,0,1954225,2018-05-10 15:03:04,25,UCJbPGzawDH1njbqV-D5HqKw
dead by daylight beginner common mistakes,GassyMexican,testEmail,country not detected,https://www.youtube.com/channel/UCv9isdvu5C5Pl1ee19WI4pw/about,"64,053.73",0.0367801354,- former big utuber,0,1478765,2018-05-11 8:58:49,22,UCv9isdvu5C5Pl1ee19WI4pw
CS GO pro news,Valve News Network,testEmail,US,https://www.youtube.com/channel/UCL5RKbiAPqSC_mUIjCpx3xg/about,"63,980.87",0.06002563143,- brand channel,0,255259,2018-05-10 16:10:56,24,UCL5RKbiAPqSC_mUIjCpx3xg
dead by daylight intermediate guide,WorstPremadeEver,testEmail,GB,https://www.youtube.com/channel/UC7-e4BVU4SueDRU00h48d-A/about,"63,123.25",0.02499367219,- gaming channel,0,41562,2018-05-11 9:00:08,12,UC7-e4BVU4SueDRU00h48d-A
escape from tarkov beginner methods,Kotton,testEmail,US,https://www.youtube.com/channel/UCuVsAtrhly8r38slgKYihqw/about,"63,112.00",0.03680163836,- gaming channel,0,109547,2018-05-11 11:05:09,25,UCuVsAtrhly8r38slgKYihqw
god of war beginner videos,Captain Eggcellent,testEmail,GB,https://www.youtube.com/channel/UCmYuHwdOnUCH2wGkFnEZ7OA/about,"62,980.93",0.02278694344,- gaming channel,0,84099,2018-05-11 7:33:36,15,UCmYuHwdOnUCH2wGkFnEZ7OA
rainbow six seige beginner tutorial,MicrowaveGaming,testEmail,US,https://www.youtube.com/channel/UC5DWxKf6nbJ_HHeGNfmcKuA/about,"62,471.90",0.04668479545,- gaming channel,0,248826,2018-05-10 17:59:26,22,UC5DWxKf6nbJ_HHeGNfmcKuA
hearthstone baku,Alliestrasza,testEmail,US,https://www.youtube.com/channel/UC_7EMCIsl9xfQlvGTxAskgw/about,"62,403.10",0.02492883148,- hearthstone channel,0,58574,2018-05-10 14:58:00,11,UC_7EMCIsl9xfQlvGTxAskgw
heroes of the storm expert tutorial,Acai,testEmail,US,https://www.youtube.com/channel/UC3r2fHMP1OXoKt-FBgwVnOA/about,"61,975.72",0.03772646772,- guitar hero channel,0,187145,2018-05-10 17:20:46,25,UC3r2fHMP1OXoKt-FBgwVnOA
minecraft expert strategy,JeromeASF,testEmail,country not detected,https://www.youtube.com/channel/UCrYnLkVfvVf0Qy0YOUQdk2A/about,"61,911.20",0.03469990083,"- former big utuber
- minecraft channel",1,4842039,2018-05-10 17:05:03,17,UCrYnLkVfvVf0Qy0YOUQdk2A
call of duty wwii beginner guide,NerosCinema,testEmail,US,https://www.youtube.com/channel/UCtUhzIOc-x_m3NqBvT7UCrw/about,"61,705.23",0.05175474464,- COD channel,1,549944,2018-05-10 17:27:27,14,UCtUhzIOc-x_m3NqBvT7UCrw
heroes of the storm expert tutorial,GuitarHeroPhenom,testEmail,country not detected,https://www.youtube.com/channel/UCeh53ueba7retNlcUFnj9HQ/about,"61,667.31",0.02060810179,- guitar hero channel,0,177383,2018-05-10 17:20:48,14,UCeh53ueba7retNlcUFnj9HQ
dead cells beginner noobs,nickatnyte,testEmail,US,https://www.youtube.com/channel/UCMxYQX1zaepCgmiSmwbT39w/about,"61,352.50",0.0426410719,- mobile gaming channel,1,2591484,2018-05-11 9:45:44,11,UCMxYQX1zaepCgmiSmwbT39w
escape from tarkov beginner common mistakes,Soup,testEmail,US,https://www.youtube.com/channel/UCifRgVk-GEo1_vvf8x53t6A/about,"60,376.00",0.04860582019,- not good for branding,0,265270,2018-05-11 11:07:14,17,UCifRgVk-GEo1_vvf8x53t6A
heroes of the storm beginner tactics,Fevir,testEmail,CA,https://www.youtube.com/channel/UCHWRzq45vbfzPagu3AuzwGQ/about,"60,250.70",0.02213643333,- gaming channel,0,99144,2018-05-10 17:15:36,25,UCHWRzq45vbfzPagu3AuzwGQ
world of tanks beginner lessons,MadSeasonShow,testEmail,US,https://www.youtube.com/channel/UCOvz3kkYZtCTeXKdiuMG8eg/about,"60,109.80",0.04194989835,- gaming channel,0,127175,2018-05-11 11:38:53,21,UCOvz3kkYZtCTeXKdiuMG8eg
rainbow six seige beginner guide,Shmolty,testEmail,US,https://www.youtube.com/channel/UCkMh5xnxfF1AYNx8WTXjXmQ/about,"59,959.13",0.05384501525,- gaming channel,1,200982,2018-05-10 17:58:52,9,UCkMh5xnxfF1AYNx8WTXjXmQ
runscape beginner common mistakes,Sean ThompsonTV,testEmail,GB,https://www.youtube.com/channel/UCD1RkDGwwQYdn_hNUZ6000w/about,"59,805.89",0.02051823213,- workout channel,0,65504,2018-05-11 11:22:55,10,UCD1RkDGwwQYdn_hNUZ6000w
dead by daylight beginner noobs,No0b3,testEmail,CA,https://www.youtube.com/channel/UC-6CA78zz_ZBl1vvJs5cWlw/about,"59,757.21",0.06129430711,- dead by daylight channel,0,70394,2018-05-11 8:59:11,25,UC-6CA78zz_ZBl1vvJs5cWlw
dead cells expert common mistakes,EverySteveJobsVideo,testEmail,country not detected,https://www.youtube.com/channel/UCCmyTnCbjOoWNq3bsM3BovA/about,"59,364.09",0.01165167189,- steve jobs channel,0,208937,2018-05-11 9:54:38,12,UCCmyTnCbjOoWNq3bsM3BovA
minecraft pro news,NewScapePro,testEmail,US,https://www.youtube.com/channel/UCnOrbHjKRgeWSDqSteVOEhA/about,"58,921.22",0.04681754364,- gaming skits,1,601595,2018-05-10 17:12:32,25,UCnOrbHjKRgeWSDqSteVOEhA
call of duty beginner techniques,Star Wars HQ,testEmail,country not detected,https://www.youtube.com/channel/UCA3aPMKdozYIbNZtf71N7eg/about,"58,889.17",0.05224872811,- battlefield only,0,718261,2018-05-10 17:44:12,25,UCA3aPMKdozYIbNZtf71N7eg
hearthstone starting from scratch,Boogie Plays Games,testEmail,US,https://www.youtube.com/channel/UCxJ107jp9A3Ea09Fu00fw0g/about,"58,488.63",0.03554608553,- dead channel,0,351575,2018-05-10 14:54:37,25,UCxJ107jp9A3Ea09Fu00fw0g
dark souls expert common mistakes,UAMN TV,testEmail,GB,https://www.youtube.com/channel/UCADpu4fv0XEiGjZpTPwFVmQ/about,"58,336.77",0.01358348563,- alien channel,3,160747,2018-05-11 9:37:04,13,UCADpu4fv0XEiGjZpTPwFVmQ
GTA 5 expert videos,TueurDuDimanche,testEmail,country not detected,https://www.youtube.com/channel/UCrvCWKAR-E4dg9ObkLDl9ZA/about,"58,289.80",0.03868258254,- foreign channel,3,46522,2018-05-11 13:49:14,5,UCrvCWKAR-E4dg9ObkLDl9ZA
god of war beginner noobs,ArcadeCloud,testEmail,US,https://www.youtube.com/channel/UCYW45MHXiBHQ8KMK_79VwEQ/about,"58,100.20",0.02640688766,- skit channel,0,1370901,2018-05-11 7:34:43,11,UCYW45MHXiBHQ8KMK_79VwEQ
league of legend mids,Mobalytics,testEmail,US,https://www.youtube.com/channel/UCGCpa--gJo5Dzi0oxNgUPrw/about,"58,027.48",0.02206006533,- brand channel,0,44659,2018-05-09 16:46:42,25,UCGCpa--gJo5Dzi0oxNgUPrw
hearthstone starcraft,Naur,testEmail,country not detected,https://www.youtube.com/channel/UCFYaJYrGQAWuotpzTXWzucg/about,"58,012.83",0.0383069024,- foreign channel,0,253281,2018-05-10 14:53:38,25,UCFYaJYrGQAWuotpzTXWzucg
escape from tarkov expert lessons,BareMettle,testEmail,GB,https://www.youtube.com/channel/UCCG0LnFuFvyT8EkcM9HA7Tw/about,"57,760.73",0.0140681027,- dead channel,0,5095,2018-05-11 11:13:05,16,UCCG0LnFuFvyT8EkcM9HA7Tw
black desert online expert common mistakes,Great Big Story,testEmail,US,https://www.youtube.com/channel/UCajXeitgFL-rb5-gXI-aG8Q/about,"57,758.43",0.03360424824,- not fit,0,2345027,2018-05-11 10:14:00,15,UCajXeitgFL-rb5-gXI-aG8Q
league vs dota,TwoFrylol,testEmail,country not detected,https://www.youtube.com/channel/UC59sBfCRmJQmHqTUuZdp88g/about,"57,710.25",0.07031246616,- dead channel,0,1572,2018-05-09 16:50:07,4,UC59sBfCRmJQmHqTUuZdp88g
runscape beginner tutorial,SnuggleQuest,testEmail,country not detected,https://www.youtube.com/channel/UCHvz5nTqK06ZhFikkXybPVQ/about,"57,499.48",0.01798050341,- dead channel,0,27042,2018-05-11 11:18:47,24,UCHvz5nTqK06ZhFikkXybPVQ
call of duty wwii expert guide,MrRoflWaffles,testEmail,GB,https://www.youtube.com/channel/UCzH3H8sRfqH3rEVZcpTV2Cw/about,"57,495.61",0.04091972872,no notes,0,1104055,2018-05-10 17:36:45,25,UCzH3H8sRfqH3rEVZcpTV2Cw
dead cells expert tutorial,Makeup with Jah,testEmail,AU,https://www.youtube.com/channel/UCMTQd-Czj7NG_KHItkHp-nA/about,"56,646.00",0.06886335016,- beaty channel,0,399476,2018-05-11 9:52:07,13,UCMTQd-Czj7NG_KHItkHp-nA
black desert online beginner common mistakes,Black Desert Online - SEA,testEmail,country not detected,https://www.youtube.com/channel/UC4NN5Gf5n61C4lWrrcqsU8Q/about,"56,234.43",2.92E-05,- brand channel,0,818,2018-05-11 10:05:16,25,UC4NN5Gf5n61C4lWrrcqsU8Q
god of war beginner techniques,CrashCourse,testEmail,country not detected,https://www.youtube.com/channel/UCX6b17PVsYBQ0ip5gyeme-Q/about,"56,222.30",0.04623029851,- science channel,0,7645177,2018-05-11 7:33:18,24,UCX6b17PVsYBQ0ip5gyeme-Q
dead cells intermediate strategy,Business Insider,testEmail,country not detected,https://www.youtube.com/channel/UCcyq283he07B7_KUX07mmtA/about,"56,173.00",0.02122921638,- brand channel,0,740437,2018-05-11 9:47:35,20,UCcyq283he07B7_KUX07mmtA
runscape beginner tactics,RiceCup,testEmail,US,https://www.youtube.com/channel/UCPTn3ay9blvIspHt1bR3F2A/about,"55,983.64",0.0205872787,- runescape channel,0,55911,2018-05-11 11:21:30,25,UCPTn3ay9blvIspHt1bR3F2A
call of duty pro gameplay,OpTic Gaming,testEmail,US,https://www.youtube.com/channel/UCVhkzoReyB25jpFEeXjh3kQ/about,"55,382.58",0.04586429849,- esports channel,0,1414045,2018-05-10 17:57:06,13,UCVhkzoReyB25jpFEeXjh3kQ
GTA 5 pro builds,DomesticMango,testEmail,AU,https://www.youtube.com/channel/UCBcSz0X2VSbYHvis-VM-sIQ/about,"55,176.00",0.05026642018,- car channel,0,238345,2018-05-11 13:54:04,2,UCBcSz0X2VSbYHvis-VM-sIQ
heroes of the storm intermediate tutorial,Relax You're Fine,testEmail,country not detected,https://www.youtube.com/channel/UCeo_5MdWEaO6CTYvZHqEDrQ/about,"54,912.50",0.01451399954,- dead channel,0,44376,2018-05-10 17:17:36,13,UCeo_5MdWEaO6CTYvZHqEDrQ
GTA 5 intermediate lessons,EricArceneaux,testEmail,country not detected,https://www.youtube.com/channel/UCUkDbIdcnHErbMWj30cKU3Q/about,"54,697.35",0.02373058387,- singing channel,0,602929,2018-05-11 13:42:58,24,UCUkDbIdcnHErbMWj30cKU3Q
escape from tarkov beginner guide,TheDevildogGamer,testEmail,country not detected,https://www.youtube.com/channel/UCW07alAefFXWdo7RgEDtBcQ/about,"54,542.75",0.02579016765,- longform gaming,1,901551,2018-05-11 11:04:46,13,UCW07alAefFXWdo7RgEDtBcQ
far cry 5 beginner tutorial,Forge Labs,testEmail,US,https://www.youtube.com/channel/UCiSVf-UpLC9rRjAT1qRTW0g/about,"54,160.67",0.02656937664,- gaming misc channel,0,127609,2018-05-11 10:18:55,25,UCiSVf-UpLC9rRjAT1qRTW0g
world of tanks intermediate videos,The French Whisperer,testEmail,country not detected,https://www.youtube.com/channel/UCSkS5vtp5gY3huyVkX4IfMw/about,"54,006.32",0.01334692321,- asmr,0,49652,2018-05-11 11:44:08,23,UCSkS5vtp5gY3huyVkX4IfMw
starcraft 2 beginner news,SC2HL,testEmail,country not detected,https://www.youtube.com/channel/UC9C07cryUrKzLuAzwITPA3A/about,"53,950.04",0.02137195287,- inactive channel,0,55677,2018-05-11 8:10:07,25,UC9C07cryUrKzLuAzwITPA3A
heroes of the storm expert videos,UKOGmonkey,testEmail,country not detected,https://www.youtube.com/channel/UC0gElXJLp_puscXA7vW11sg/about,"53,941.04",0.03518153629,- guitar hero channel,1,284594,2018-05-10 17:22:43,24,UC0gElXJLp_puscXA7vW11sg
rainbow six seige beginner lessons,Gregor,testEmail,US,https://www.youtube.com/channel/UCClbSsmQyxSu_nu93TeN1qg/about,"53,728.89",0.04795268426,- seige content,1,129278,2018-05-10 18:00:00,10,UCClbSsmQyxSu_nu93TeN1qg
dead cells intermediate guide,khanacademymedicine,testEmail,country not detected,https://www.youtube.com/channel/UCJayvjGvKEblkA3KYK1BQQw/about,"53,139.17",0.001991625763,- brand channel,0,703507,2018-05-11 9:46:59,13,UCJayvjGvKEblkA3KYK1BQQw
GTA 5 beginner guide,Flummox,testEmail,country not detected,https://www.youtube.com/channel/UC3Zi2R3TAmPW6BjvQzGceEQ/about,"52,816.10",0.02289642742,- dead,0,5914,2018-05-11 13:37:13,11,UC3Zi2R3TAmPW6BjvQzGceEQ
starcraft 2 intermediate common mistakes,RSDMax,testEmail,country not detected,https://www.youtube.com/channel/UCmIq20BSpfq7Y5qS-dQudog/about,"52,797.58",0.04313706168,- dating channel,0,187393,2018-05-11 8:12:30,25,UCmIq20BSpfq7Y5qS-dQudog
dead cells beginner techniques,HawksNest,testEmail,US,https://www.youtube.com/channel/UCf2eYf81QZ1XX4hohfcwPxQ/about,"52,681.95",0.02536922039,- gaming channel,1,75282,2018-05-11 9:43:45,21,UCf2eYf81QZ1XX4hohfcwPxQ
minecraft pro players,Grapeapplesauce,testEmail,US,https://www.youtube.com/channel/UCAyFmGhTVmeSmGvx4ycr09A/about,"52,636.92",0.06478183882,- minecraft channel,1,601861,2018-05-10 17:12:05,13,UCAyFmGhTVmeSmGvx4ycr09A
